"cod_mun","Municipio","pobreza_monetaria","varianza_pobreza","pct_indigena_2024","pct_afro_2024","pct_menores15_2024","indice_envejecimiento_2024","categoria_617","cat_ruralidad","extension","densidad_2024","var_intercensal","idf_2024","cobertura_educ_2024","desercion_2024","analfabetismo_2018","analfabetismo_rural_2018","saber11_mate_2022","saber11_lectura_2022","empresas_formales_2016","pct_ocupados_form_2016","pct_primario_2023","pct_secundario_2023","pct_terciario_2023","peso_relativo_2023","tasa_mortalidad_2020","mort_materna_2020","mort_infantil_1a_2020","cobertura_pentavalente_2020","bajo_peso_2020","control_prenatal_4_2020","promedio_prenatales_2020","mort_infantil_5a_2020","mort_eda_2020","mort_ira_2020","mort_desnutricion_2020","fecundidad_15_19_2020","mort_neonatal_2020","partos_calificados_2020","tasa_hurto_2019","tasa_homicidios_2019","tasa_extorsion_2019","tasa_violencia_intra_2019","recaudo_predial_2020","pct_predios_urb_2022","pct_predios_rur_2022","acueducto_2018","alcantarillado_2018","energia_2018","internet_2018","iica_2023","dist_popayan_km","dist_cali_km","dist_capital_km","dist_carretera_km","snap_km","aislado_vial","pdet","pob_total","pct_rural","pct_urbano","tasa_dependencia","pct_sisben_A","coca_pct_territorio","desplaz_tasa_1000","victimas_tasa_1000","cotizantes_tasa_1000","pagos_admin_pc","pagos_educacion_pc","pagos_salud_pc","pagos_serv_publicos_pc","pagos_total_pc","ingresos_pc","ingresos_corrientes_pc","ingresos_tributarios_pc","ingresos_no_trib_pc","transferencias_pc","sgp_pc","recursos_capital_pc","valor_agregado_pc","predios_pc","avaluo_promedio","pct_contributivo","pct_subsidiado","pct_excepcion"
"19698","Santander de Quilichao",0.247097867528779,1.85295100452764e-06,27.48,23.51,22.98,59.26,"4","Intermedio",444,265.84,37.57,48.5,96.82,3.48,4.29,6.04,48.55,50.9,111.95,17.22,17.8953220152518,40.8608286240632,41.243849360685,10.8556468842738,5.51,129.2,18.2,79.62,7.43,85.19,5.8,6.46,0,0,0,64.95,2.58,91.99,449.95,93.03,20.57,155.65,2.41,49.97,50.03,82.66,54.4,97.24,22.5,21,58.2552145903316,46.8006714386008,58.2552145903316,78.123,0.012106765668053,0,1,126198,53.6,46.4,48.19,31.5472511450261,35.454954954955,1.58481116974912,34.8420735669345,81.6184091665478,8159694.26599471,0,0,0,8212629.19337866,1482631.30061491,1303106.50038035,232483.527678727,1070622.97270163,1048566.83722404,505545.569929793,179524.800234552,0.0221349987302238,0.316986006117371,29.6526438017149,35.02791230396,62.7706681817772,2.20141951426278
"19701","Santa Rosa",0.518069808102902,4.32900450457725e-05,25.3,0.65,26.71,51.72,"6","Rural disperso",3009,1.89,-44.26,53.7,77.14,5.86,6.31,6.58,47.29,49.02,0,2.46,27.6753860477863,7.07480080273181,65.2498131494819,0.212655901490974,3.34,2941.18,20.38,39.08,9.09,66.67,4.41,0,0,0,0,48.39,0,91.18,18.68,0,74.71,18.68,1.45,14.51,85.49,20.09,19.24,82.32,0.79,4,100.097434539572,203.549546545158,100.097434539572,197.4415,13.7282174025118,0,0,5328,88.36,11.64,58.1,46.1148648648649,2.13592555666334,0.750750750750751,40.3528528528529,27.0589339339339,12249661.6595345,0,0,0,12652078.7552553,2889488.02909159,2889488.0289039,99677.1343843844,2789810.89451952,2756011.19688438,2011504.2118994,0.000187687687687688,0.0102704503849469,0.586148648648649,1.22698366954851,8.00441622964394,89.8978746894838,2.09770908087221
"19743","Silvia",0.594548828166253,1.61479385731399e-06,86.48,0.08,27.46,43.03,"6","Rural",582,69.42,20.6,49.5,69.99,2.42,10.02,11.15,43.95,45.3,0,4.78,6.95201022372553,8.60037472264886,84.4476150536256,1.19353302822851,4.41,230.41,16.35,57.26,7.37,63.95,4.42,20.74,0,0,0,52.37,9.22,74.88,23.86,5.3,23.86,37.12,1.2,56.04,43.96,34.61,19.35,90.27,3.7,12,33.6618383371012,86.4272367972265,33.6618383371012,62.6842,0.211657513144877,0,0,39887,89.47,10.53,55.92,4.2419836036804,0,1.00283300323414,29.9596359716198,22.1270087998596,9126883.71053225,0,0,0,9193444.96693158,1692574.15651716,1473143.01351317,64854.2836011733,1408288.729912,1335939.50577883,678720.356005716,219431.143003986,0.00769979803844426,0.152957103818287,15.9550057367645,5.70804472163941,92.9353605610324,1.3565947173282
"19760","Sotará Paispamba",0.42363483052891,2.18662120876093e-05,44.06,0.12,22.97,65.96,"6","Rural disperso",449,33.43,-11.19,54.2,48.91,2.08,5.43,5.54,46.94,48.22,0,1.65,40.122593119643,7.07480080273182,52.8026060776252,0.555442411601887,3.94,0,14.66,57.59,7.04,77.46,5.49,42.25,0,0,0,34.65,28.17,95.77,92.34,7.1,35.51,0,3.78,18.93,81.07,47.44,11.84,91.18,0.77,3,26.8575437004252,130.310752937434,26.8575437004252,40.3077,1.01963396984391,0,0,14596,97.01,2.99,51.68,22.1567552754179,0,0.274047684297068,10.8933954508084,12.0121951219512,2874427.68395451,0,0,0,2949755.90675528,2066799.37482872,1781150.16936147,166175.593929844,1614974.57543163,1591637.89318991,908447.150726226,285649.205467251,0.00979222646291797,0.404220334338175,8.45437457627119,5.43533475566392,93.8534999492025,0.711165295133597
"19780","Suárez",0.420860918532776,2.77817796371854e-05,24.9,54.05,26.52,48.27,"6","Rural",370,92.15,65.79,51.1,64.01,3.82,8.01,8.66,40.64,43.8,0,3.68,23.9408279215249,7.75635690270334,68.3028151757717,1.7231978154611,4.03,0,21.31,61.47,12.54,83.43,5.77,11.63,0,0,0,51.71,8.72,95.93,27.93,96.2,15.52,31.03,2.45,28.04,71.96,40.04,27.32,92.68,1.72,5,54.3025529906495,55.2462246420354,54.3025529906495,92.5932,0.0788100626727589,0,1,37158,81.65,18.35,54.81,32.1007589213628,427.267567567568,43.0593681037731,500.376769470908,10.1727757145164,6406316.20743851,0,0,0,6485736.12936649,1390121.04362452,1221459.8552667,111791.589213628,1109668.26605307,1064010.56165563,636463.948382583,168661.188357823,0.0119332591076548,0.236853436675817,15.5488183161004,5.45325779036827,93.6311210036422,0.915621205989478
"19785","Sucre",0.592260763101386,6.20822253712911e-05,0,0.2,21.76,69.34,"6","Rural",128,78.47,5.96,48.8,43.78,3.47,14.7,15.52,43.6,46,0,2.33,37.0076101321094,8.33833265117672,54.6540572167139,0.394548136045886,4.55,0,29.3,70.87,11.63,89.53,6.26,11.63,0,0,0,37.74,11.63,100,10.44,20.87,10.44,0,3.58,14.97,85.03,23.1,19.66,89.58,0.66,45,57.7220603908214,152.998345433796,57.7220603908214,111.425,0.206393736268664,0,0,9756,83.79,16.21,48.88,62.3411234112341,0,4.920049200492,109.368593685937,12.3687986879869,12143953.0761583,0,0,0,12420726.9548995,2702721.58845838,2286107.41605166,128597.268245182,2157510.14780648,2119058.26660517,1373859.5295203,416614.172406724,0.01040649476166,0.391758917589176,4.14387231815803,4.14878397711016,94.964234620887,0.886981402002861
"19807","Timbío",0.485298379279879,6.02941406788555e-06,3.41,0.5,21.48,77.38,"6","Intermedio",169,225.39,18.15,54.9,82.35,3.69,6.7,8.08,51.43,52.39,0,4.05,37.0385771081709,8.14071560408741,54.8207072877417,1.76432303080959,6.12,0,13.59,82.91,7.07,87.63,6.04,12.63,0,0,0,58.86,7.58,100,256.3,22.29,27.86,89.15,1.83,30.08,69.92,93.07,39.53,96.59,7.2,2,18.1676816564456,116.898931420303,18.1676816564456,19.4613,0.222594025074907,0,0,38572,59.97,40.03,50.49,24.2766773825573,10.8816568047337,1.78886238722389,28.077361816862,23.0911023540392,8375649.58267655,0,0,0,8456146.11122057,1515295.11407238,1477999.79319195,99400.1964637561,1378599.5967282,1333343.22023748,645615.117079747,37295.3208804314,0.011770155778371,0.382583220989319,19.9092261299722,12.6784713291786,86.1476572031523,1.17387146766907
"19809","Timbiquí",0.509420099635651,5.4328541593482e-06,17.91,81.36,38.01,19.81,"6","Rural disperso",2002,14.04,24.97,54.5,69.87,2.03,16.72,19.23,35.23,38.86,0,4.71,3.94789550347593,7.01360092293924,89.0385035735848,0.60950588044086,1.95,0,28.95,61.76,13.92,63.29,4.16,33.76,0,0,0,46.39,25.32,98.73,11.38,11.38,22.76,0,0.02,81.63,18.37,18.25,15.55,46.09,0.96,12,102.139954645437,128.040860230609,102.139954645437,563.4249,28.2235513104773,1,0,29010,76.94,23.06,76.46,41.4270941054809,153.435064935065,0.758359186487418,94.4846604619097,18.8927955877284,8718607.08593589,0,0,116582.985177525,8947301.97576698,1720771.08290245,1648224.6175112,59682.5387452603,1588542.07876594,1565804.11944157,939201.002412961,72546.4653912444,0.00540637836867941,0.0919338159255429,164.707401574803,3.85402759234535,94.5749888740543,1.57098353360036
"19821","Toribío",0.551408859073775,3.54494427126661e-05,98.21,0.09,27.84,35.01,"6","Rural",412,91.22,32.84,56.4,72.27,4.64,12.03,12.55,40.04,42.46,0,2.46,17.3738896952037,8.56086697701058,74.0652433277857,1.13173012895461,4.09,0,15.46,85.56,5.63,78,5.48,16.56,29.87,0,59.74,84.24,8.28,76.16,8.33,61.08,19.44,8.33,0.11,75.45,24.55,67.54,20.15,95.85,2.45,32,70.8405354368033,63.0140470290965,70.8405354368033,130.5653,0.399830007335912,0,1,39282,94.26,5.74,53.35,0.282572170459753,0,1.2473906623899,54.7069904790998,10.1827809174686,9016874.94753322,0,0,0,9084055.35907031,1648620.54034927,1482847.988468,75626.8390102337,1407221.14945777,1376291.67033247,706809.434575633,165772.551881269,0.00741353858284184,0.0252023827707347,247.267939393939,3.41413036875038,95.6806998359759,0.905169795273677
"19824","Totoró",0.590158497641813,3.11635716558037e-05,83.83,0.15,29.04,36.26,"6","Rural",384,69.22,40.9,42,63.86,3.49,7.47,7.71,42.8,45.67,0,3.61,30.3162391917824,8.52648455108005,61.1572762571375,0.807484559285414,2.73,0,21.94,61.76,6.21,75.33,5.12,22.8,77.34,38.67,0,55.47,3.26,88.6,71.61,3.98,47.74,79.56,1.06,16.83,83.17,12.35,11.01,89.28,1.68,1,22.9527595034676,101.540430007499,22.9527595034676,36.7271,0.203379043710969,0,0,27100,95.74,4.26,57.51,9.28782287822878,0,0.03690036900369,8.1549815498155,14.8922509225092,7960932.85295203,0,0,0,8060259.68516605,1777399.42180812,1416256.55369004,84899.4472324723,1331357.10645756,1293486.63723247,707701.419188192,361142.868118081,0.00766727784192391,0.18859778597786,17.2832107219722,5.14875287989582,94.2251828107783,0.626064309325854
