"municipio","directo","fh","cv_directo","cv_fh","reduccion_cv"
"Candelaria",0.0843703325877526,0.104334782327105,20.8240682089188,15.8716787499775,4.95238945894126
"Andalucía",0.170872931834585,0.186215363107352,19.3634035929395,14.4979048779108,4.86549871502865
"Patía",0.427856368967543,0.450791250184559,13.1376339289873,8.33259915815629,4.80503477083101
"El Cerrito",0.144691679449936,0.157184333124894,21.1506121505289,16.4008433515991,4.74976879892983
"Timbiquí",0.509420099635651,0.487539973106676,13.7714794614579,9.12930111154954,4.64217834990836
"Bugalagrande",0.166316423809804,0.187611438723638,17.931713498395,13.4552634375829,4.47645006081214
"Páez",0.557053293913796,0.584073226935947,13.1250934078747,8.91379276070418,4.21130064717052
"Timbío",0.485298379279879,0.414836367970693,14.1823712156706,9.97490948378321,4.20746173188739
"El Águila",0.294073076447916,0.29165596504989,16.5300776572456,12.3698731797643,4.16020447748127
"Restrepo",0.241473632865204,0.227521548154912,18.2245207805213,14.086303427065,4.13821735345632
"Miranda",0.198653480586513,0.216222018879699,16.9046832015641,12.8294094611507,4.0752737404134
"La Cumbre",0.147708363582434,0.173220563504266,17.545781632779,13.5343829820583,4.01139865072074
"Piendamó - Tunía",0.347038916776648,0.362453636815118,12.9401546038459,9.1405644037126,3.7995902001333
"Calima",0.198650799132813,0.199265993128194,18.2521435939196,14.9793885289098,3.27275506500981
"Vijes",0.236087412061672,0.233314294088713,15.5907803934242,12.4382674664128,3.15251292701143
"Silvia",0.594548828166253,0.583620122310163,9.71992439460408,6.77368407986707,2.94624031473701
"Zarzal",0.18600007617763,0.196629679906714,14.072917413374,11.7827163423367,2.29020107103732
"El Tambo",0.534467488422076,0.494510777795635,9.43488165243152,7.46123510948721,1.97364654294431
"Villa Rica",0.286909792264029,0.278731239085653,12.237631833306,10.270034255055,1.96759757825104
"Dagua",0.207021979672274,0.193305728007533,17.8543113407753,15.9142060901068,1.94010525066851
"Santander de Quilichao",0.247097867528779,0.263344497405306,10.6300076978836,8.82991343369775,1.80009426418586
"Cartago",0.293248262981083,0.274020100453848,12.5447014253517,11.1128428677376,1.43185855761415
"Yotoco",0.203630228528829,0.206981745598896,11.7538138595729,10.3474547875671,1.40635907200579
"Guadalajara de Buga",0.171840563775675,0.179526101219204,11.3881915354939,10.1436475333652,1.24454400212871
"Ginebra",0.261182422460713,0.232434268796978,13.3130510351452,12.1300381930779,1.18301284206726
"Argelia",0.238909085592395,0.25079710038854,20.3243083627791,19.1422950310787,1.18201333170039
"Pradera",0.201095575249391,0.193709990711545,13.6008665902874,12.4441233757796,1.15674321450777
"Palmira",0.20769656033191,0.212362913105729,10.4877873825819,9.40204521691259,1.08574216566931
"Guachené",0.314021505745962,0.315174887144238,9.34642812091606,8.26858799960316,1.0778401213129
"Tuluá",0.257428514132288,0.258086471930429,9.03719238745279,8.13863381548372,0.898558571969067
"Guacarí",0.142114639632979,0.144660509973552,11.8235942022951,11.0338281749102,0.789766027384859
"Bolívar",0.191834135533459,0.194592834261547,10.8355455204765,10.0688899946936,0.766655525782916
"Caicedonia",0.374839473966334,0.33882009806352,8.18321936325589,7.5936076581247,0.589611705131192
"Puerto Tejada",0.245146463189562,0.220110670581256,12.8515230155402,12.3679320801784,0.483590935361782
"Jamundí",0.206298512477446,0.200420832794279,9.92155426573837,9.55215353941274,0.369400726325628
"Buenaventura",0.583063980603387,0.586522352862768,6.80469304759643,6.55251339976812,0.252179647828309
"Popayán",0.387999218684024,0.387670805539059,2.67712639485498,2.64751731167578,0.0296090831792046
"Yumbo",0.281760420447449,0.275216320425933,4.48047333066217,4.4613132159922,0.0191601146699671
"Cali",0.236000150623116,0.234841397336332,2.83011766826779,2.82462940222765,0.0054882660401403
