"modelo","especificacion","metodo","k","cod_mun","Municipio","directo","varianza","base","robusto","dif_pp"
"M2_reblup_1.345","M2","reblup",1.345,"19785","Sucre",0.592260763101386,0.0206325953688744,0.469229104032528,0.470947210023752,0.1718
"M2_reblup_1.345","M2","reblup",1.345,"19807","Timbío",0.485298379279879,0.00473713082825383,0.367255308869963,0.352306620909016,-1.4949
"M2_reblup_1.345","M2","reblup",1.345,"19809","Timbiquí",0.509420099635651,0.00492167974240239,0.520111888434473,0.521577197731028,0.1465
"M2_reblup_1.345","M2","reblup",1.345,"19821","Toribío",0.551408859073775,0.0139003790075414,0.529112086767723,0.530275265509342,0.1163
"M2_reblup_1.345","M2","reblup",1.345,"19824","Totoró",0.590158497641813,0.0145050802266012,0.481190572932265,0.479378454405253,-0.1812
"M2_reblup_1.345","M2","reblup",1.345,"19845","Villa Rica",0.286909792264029,0.00123277979799329,0.284703084135556,0.284424902988846,-0.0278
"M2_reblup_1.345","M2","reblup",1.345,"76001","Cali",0.236000150623116,4.46101358273742e-05,0.236335195349182,0.236297062637432,-0.0038
"M2_reblup_1.345","M2","reblup",1.345,"76020","Alcalá",0.324586690009205,0.00546291475418344,0.327817321354167,0.327781246336878,-0.0036
"M2_reblup_1.345","M2","reblup",1.345,"76036","Andalucía",0.170872931834585,0.001094737354784,0.192087500502199,0.191112301534619,-0.0975
"M2_reblup_1.345","M2","reblup",1.345,"76041","Ansermanuevo",0.311294220007976,0.00319417558067191,0.307074405546196,0.308179068454595,0.1105
"M2_reblup_1.345","M2","reblup",1.345,"76054","Argelia",0.346746769918103,0.00448134976418645,0.471868444156313,0.49400099804047,2.2133
"M2_reblup_1.345","M2","reblup",1.345,"76100","Bolívar",0.191834135533459,0.000432069231682328,0.204669931393314,0.20692548316154,0.2256
"M2_reblup_1.345","M2","reblup",1.345,"76109","Buenaventura",0.583063980603387,0.00157416229340437,0.536404311894824,0.534218550376019,-0.2186
"M2_reblup_1.345","M2","reblup",1.345,"76111","Guadalajara de Buga",0.171840563775675,0.000382966603773313,0.182729402445742,0.183820782338708,0.1091
"M2_reblup_1.345","M2","reblup",1.345,"76113","Bugalagrande",0.166316423809804,0.000889434270094062,0.157278666692859,0.156628713092812,-0.065
"M2_reblup_1.345","M2","reblup",1.345,"76122","Caicedonia",0.374839473966334,0.000940890375175486,0.34702700563941,0.344680992300875,-0.2346
"M2_reblup_1.345","M2","reblup",1.345,"76126","Calima",0.198650799132813,0.00131464467481034,0.217415409333711,0.216660209504616,-0.0755
"M2_reblup_1.345","M2","reblup",1.345,"76130","Candelaria",0.0843703325877526,0.000308681553642066,0.0779023352697234,0.0783281173525064,0.0426
"M2_reblup_1.345","M2","reblup",1.345,"76147","Cartago",0.293248262981083,0.00135329212623361,0.289136982253127,0.289204884356309,0.0068
"M2_reblup_1.345","M2","reblup",1.345,"76233","Dagua",0.207021979672274,0.00136621522840808,0.234863839823672,0.236180139777837,0.1316
"M2_reblup_1.345","M2","reblup",1.345,"76243","El Águila",0.294073076447916,0.00236298147886876,0.285941420115893,0.288581590501706,0.264
"M2_reblup_1.345","M2","reblup",1.345,"76246","El Cairo",0.254004114002871,0.00282345865625291,0.298781472184633,0.301943260934333,0.3162
"M2_reblup_1.345","M2","reblup",1.345,"76248","El Cerrito",0.144691679449936,0.000936554377280561,0.140618403298925,0.1400462417373,-0.0572
"M2_reblup_1.345","M2","reblup",1.345,"76250","El Dovio",0.427663486848989,0.00715844761819582,0.45353172434401,0.456154620447008,0.2623
"M2_reblup_1.345","M2","reblup",1.345,"76275","Florida",0.241902478104377,0.0029633225467165,0.214013929486284,0.211914224425542,-0.21
"M2_reblup_1.345","M2","reblup",1.345,"76306","Ginebra",0.261182422460713,0.00120904672498133,0.220408320836555,0.21811928109772,-0.2289
"M2_reblup_1.345","M2","reblup",1.345,"76318","Guacarí",0.142114639632979,0.000282342767973003,0.151639068347628,0.152372913060157,0.0734
