"cod_mun","Municipio","directo_pobreza","cv_directo","eblup_pobreza","cv_eblup","gamma_fh"
"76113","Bugalagrande",0.166316423809804,0.17931713498395,0.187611438723638,13.4552634375823,0.662245911775674
"76122","Caicedonia",0.374839473966334,0.0818321936325589,0.338820098063518,7.59360765812442,0.649553659402741
"76126","Calima",0.198650799132813,0.182521435939196,0.199265993128214,14.9793885289075,0.570179313788523
"76130","Candelaria",0.0843703325877526,0.208240682089188,0.10433478232711,15.8716787499766,0.849616236153893
"76147","Cartago",0.293248262981083,0.125447014253517,0.274020100453835,11.1128428677376,0.563064590670752
"76233","Dagua",0.207021979672274,0.178543113407753,0.193305728007532,15.9142060901063,0.560724986571249
"76243","El Águila",0.294073076447916,0.165300776572456,0.291655965049897,12.3698731797633,0.424634924093258
"76246","El Cairo",0.254004114002871,0.209194357153031,0.272350486195439,13.7266988485077,0.381824007955231
"76248","El Cerrito",0.144691679449936,0.211506121505289,0.157184333124898,16.400843351598,0.650604383157627
"76250","El Dovio",0.427663486848989,0.197836879453427,0.361209568427023,12.775122841594,0.195896120883855
"76275","Florida",0.241902478104377,0.225034520974076,0.210565528682894,17.3648982479467,0.370479124271167
"76306","Ginebra",0.261182422460713,0.133130510351452,0.232434268796983,12.130038193077,0.590568733386859
"76318","Guacarí",0.142114639632979,0.118235942022951,0.144660509973552,11.0338281749101,0.860660013624244
"76364","Jamundí",0.206298512477446,0.0992155426573837,0.200420832794278,9.5521535394126,0.806304989343684
"76377","La Cumbre",0.147708363582434,0.17545781632779,0.173220563504284,13.5343829820564,0.721946623735796
"76400","La Unión",0.310276615368601,0.18848435339799,0.268040885085111,13.4813311418411,0.337703875847569
"76403","La Victoria",0.287579897258377,0.183347246626241,0.27430472047916,12.7150469508617,0.38548047379659
"76497","Obando",0.299571729054856,0.194288485775955,0.286060854440945,12.9851464553011,0.339845921292568
"76520","Palmira",0.20769656033191,0.104877873825819,0.212362913105732,9.40204521691225,0.786115161831006
"76563","Pradera",0.201095575249391,0.136008665902874,0.193709990711545,12.4441233757792,0.699815038431922
"76606","Restrepo",0.241473632865204,0.182245207805213,0.22752154815492,14.0863034270634,0.473821040360499
"76616","Riofrío",0.267094353991267,0.205528216099879,0.276006590057082,12.7590201895668,0.366571025513883
"76622","Roldanillo",0.2727397133463,0.201540678680206,0.239204629746026,14.7597059457695,0.365956460917887
"76670","San Pedro",0.170695610315552,0.215584004671766,0.195003464493856,14.7340014885429,0.562902443204327
"76736","Sevilla",0.345379631579637,0.192555674184826,0.317975593990032,12.0095368591738,0.282794078533818
"76823","Toro",0.373203694453804,0.206734634045016,0.330888705938396,11.9841136045074,0.22658323147072
"76828","Trujillo",0.362514157334695,0.180136245479041,0.346210832201253,11.1823707918301,0.290256425607753
"76834","Tuluá",0.257428514132288,0.0903719238745279,0.25808647193043,8.13863381548346,0.763156515628579
"76845","Ulloa",0.221857831780414,0.191938012680657,0.259990058542638,12.2906301363131,0.490250371851195
"76863","Versalles",0.399069270481297,0.198474681618419,0.346704683374549,11.5502469852563,0.217519913613506
"76869","Vijes",0.236087412061672,0.155907803934242,0.233314294088715,12.438267466412,0.562787095440026
"76890","Yotoco",0.203630228528829,0.117538138595729,0.206981745598902,10.3474547875666,0.752739693953241
"76892","Yumbo",0.281760420447449,0.0448047333066217,0.27521632042593,4.46131321599221,0.916266888677186
"76895","Zarzal",0.18600007617763,0.14072917413374,0.19662967990671,11.7827163423365,0.717935970872772
