"cod_mun","Municipio","pobreza_monetaria","error_estandar","varianza_pobreza","cvlog","pct_indigena_2024","pct_afro_2024","pct_menores15_2024","indice_envejecimiento_2024","pct_rural","pct_urbano","tasa_dependencia","categoria_617","extension","var_intercensal","idf_2024","cobertura_educ_2024","desercion_2024","analfabetismo_2018","analfabetismo_rural_2018","saber11_mate_2022","saber11_lectura_2022","pct_ocupados_form_2016","pct_primario_2023","pct_secundario_2023","pct_terciario_2023","peso_relativo_2023","tasa_mortalidad_2020","mort_infantil_1a_2020","cobertura_pentavalente_2020","bajo_peso_2020","control_prenatal_4_2020","promedio_prenatales_2020","mort_infantil_5a_2020","fecundidad_15_19_2020","mort_neonatal_2020","partos_calificados_2020","tasa_hurto_2019","tasa_homicidios_2019","tasa_extorsion_2019","tasa_violencia_intra_2019","recaudo_predial_2020","pct_predios_urb_2022","pct_predios_rur_2022","acueducto_2018","alcantarillado_2018","energia_2018","internet_2018","iica_2023","dist_popayan_km","dist_cali_km","dist_capital_km","dist_carretera_km","snap_km","aislado_vial","pdet","coca_pct_territorio","desplaz_tasa_1000","victimas_tasa_1000","cotizantes_tasa_1000","pagos_admin_pc","pagos_total_pc","ingresos_corrientes_pc","ingresos_no_trib_pc","transferencias_pc","sgp_pc","recursos_capital_pc","predios_pc","pct_contributivo","pct_subsidiado","pct_excepcion","pct_sisben_A","tiene_coca","tiene_mort_materna","tiene_mort_ira","tiene_pagos_salud","tiene_empresas_formales","log_valor_agregado_pc","log_avaluo_promedio","log_ingresos_tributarios_pc","log_densidad_2024","log_pob_total","log_ingresos_pc","rural_intermedio","rural","rural_disperso"
"19392","La Sierra",0.513091533789568,0.00545300318602171,0.0116592285221911,0.210445701116623,18.45,12.99,22.25,77.89,84.14,15.86,54.55,6,203,-1.72,54,80.87,1.77,9.61,10.19,50.89,51.05,3.9,61.4381244503469,6.61847317148259,31.9434023781705,0.833656557616515,4.04,18.85,83.92,12.96,88.89,5.67,18.52,68.88,9.26,98.15,112.42,18.74,65.58,56.21,5.99,7.6,92.4,40.12,12.93,92.37,1.33,14,37.9208683745036,136.855512973729,37.9208683745036,60.1813,0.383814390881835,0,0,0,1.50375939849624,43.2551968155683,22.0406899601946,12269512.8076073,12524838.851747,2240504.54586466,2145788.51455108,2137982.70703229,1223107.56355595,46697.3866430783,0.425829279080053,5.35350596450393,93.2596256425177,1.38686839297837,53.9761167624945,0,0,0,0,0,-3.96460743139072,0.986953223863619,11.4586385501013,4.02873880512411,9.33300038471207,14.6428397649128,0,1,0
"19397","La Vega",0.527577733005663,0.00570292135691437,0.0125741189862332,0.212545701097264,48.86,0.14,22.64,71.86,96.87,3.13,53.49,6,492,-36.25,48.21,49.67,4.14,10.16,10.28,45.35,47.18,1.53,25.5760498080405,8.87033232790729,65.5536178640523,0.713242855671184,3.29,30.66,59.64,8.47,78.74,5.14,16.95,38.75,5.65,92.09,16.3,12.22,20.37,32.6,0.62,14.04,85.96,39.65,18.85,95.48,0.56,2,49.8973245812996,151.191819510865,49.8973245812996,97.6144,4.39012605073016,0,0,0,0.327560086803423,41.6410760348852,15.3781271752037,8638827.14732015,8762574.75301969,1465166.39004217,1429696.20763215,1412222.81791754,656831.628424027,349226.778528436,0.363386971297547,4.21947965310207,94.1127418278853,1.66777851901268,33.9229414895795,0,0,0,0,1,-4.8908871795879,0.760686301027074,10.4764476904109,3.97874663747105,10.1032805902421,14.4112616273909,0,1,0
"19418","López de Micay",0.67339111537938,0.00420143994977041,0.0143155329906009,0.177679113620225,6.75,92.25,38.46,18.42,90.89,9.11,76.09,6,3297,-3.86,50.9,83.18,3.45,14.88,15.85,34.17,38.67,3.24,16.7490248794221,7.07480080273181,76.1761743178461,0.500234147143305,1.53,50.71,31.24,8.79,49.06,3.85,9.43,24.44,9.43,70.75,5.33,37.31,0,10.66,0,55.06,44.94,11.62,10.9,36.15,0.35,18,92.4222840621228,86.3966628887351,92.4222840621228,563.4249,34.9644709938484,1,0,56.6081286017592,16.0073880252424,200.14365604638,19.4705248576266,9477613.14965882,9641815.26643066,1919039.62505772,1802288.71684367,1780903.34703196,1079341.55492278,223841.018880509,0.0764968446975527,3.169639083763,94.4636970670273,2.3666638492097,39.4643681699246,1,0,0,0,0,-5.02006037926025,5.63483010728331,11.6677979546362,1.80005827204275,9.87770809954864,14.5776615771222,0,0,1
"19450","Mercaderes",0.507048831931205,0.00520481251130329,0.0109386268959071,0.206267886216326,0.17,20.21,21.17,89.15,75.05,24.95,54.23,6,640,28.17,54.2,52.24,3.85,11.47,12.58,44.85,46.66,3.7,43.072469770051,8.07487130284121,48.8526589271078,1.24093013000506,4.29,29.52,59.78,7.69,87.57,5.79,5.92,40.26,5.92,99.41,126.63,65.5,34.93,34.93,0.8,31.02,68.98,66.75,28.73,94.9,1.9,13,99.6693625542598,191.065709936246,99.6693625542598,140.5185,1.36797431574923,0,1,0,5.93828837570347,54.9194643896759,15.444207257908,7410462.92738211,7515137.12524743,1278102.29710848,1244030.79398409,1226334.73995731,686715.459926257,8165.76821269164,0.380011643702697,5.51935847638141,92.5698534018293,1.91078812178925,28.6085775276538,0,0,0,0,0,-4.39058434131335,1.63218009503491,10.4362166283902,3.66893181630424,10.1567722607623,14.0672556109851,0,0,1
"19455","Miranda",0.198653480586513,0.00295422572535604,0.00112773336633902,0.169046832015641,19.61,28.82,22.07,62.35,43.26,56.74,46.49,5,212,-5.67,51,88.41,2.63,6.13,8.7,48.73,50.15,7.36,14.5430952157788,52.9732678823156,32.4836369019055,4.29309989498876,5.24,16.1,99.32,7.48,90.03,6.11,8.31,53.12,5.54,95.01,129.2,100.84,28.36,40.97,7.49,70.88,29.12,84.82,76.48,97.85,13.42,18,93.5024022172171,45.5443809057303,93.5024022172171,131.6104,0.138460090255214,0,1,6.7877358490566,1.2588271415413,66.8406509057415,51.9855695425238,9666226.67249002,9768372.46349401,1544616.0851397,974542.395486644,947826.563647528,505441.804544059,127010.896898987,0.323426466073073,35.9335779107936,62.761150801313,1.30527128789342,31.9588578446423,1,0,0,0,0,-3.38381112384836,3.65352672625399,13.2535209115479,5.07009845736704,10.3911468982703,14.3293079508702,1,0,0
"19473","Morales",0.524107460035218,0.00582758801330554,0.0126976470575373,0.215001398206854,52.18,2.14,28.2,42.74,94.76,5.24,58.6,6,418,59.23,43.7,73.38,3.33,10.74,11.26,43.75,45.67,2.83,43.3307242267404,8.08679651838683,48.5824792548728,1.85079241139528,3.52,29.2,64.7,5.44,69.77,4.75,11.19,60.41,7.46,70.9,25.31,20.25,30.37,7.59,1.46,10.01,89.99,53.11,8.45,78.59,1.09,8,41.8901414802355,68.611118300733,41.8901414802355,116.9383,0.254842393289999,0,1,366.581339712919,1.50484019495542,44.5836983132314,9.37897266581317,1973179.42939604,7681366.08546145,1330519.57956562,1241216.35640006,1189872.83794893,649888.70493902,261520.395391146,0.173371066639714,4.28705503787625,94.9286049473755,0.784340014748274,23.5181816139973,1,0,0,0,0,-4.5378205945198,3.19551047461726,11.3997928598925,4.61035671267539,10.7037611885639,14.2805267549687,0,1,0
"19513","Padilla",0.378594269667572,0.00659930717581883,0.0069961523472339,0.220930457935599,0.82,95.9,21.67,69.83,55.73,44.27,48.49,6,68,19.21,42.1,70.59,1.98,4.46,4.64,41.36,44.21,6.04,41.3600333827758,7.81865317319793,50.8213134440262,0.695773458438538,6.41,8.55,93.08,15.57,88.52,5.89,8.2,67.39,0,98.36,80.38,150.71,10.05,110.52,8.7,34.77,65.23,93.81,64.93,98.71,2.58,5,85.4289210053673,34.83584166056,85.4289210053673,121.4787,0.0456484221920014,0,0,0,0.189735319229675,27.6064889479177,26.5231002751162,5384180.32681909,5602637.33023432,1311142.29807419,1160007.41030263,1122250.76757423,676191.131676311,130231.661322455,0.44910350061664,25.8175067828074,73.6255890332715,0.556904183921177,34.8638649084527,0,0,0,0,0,-4.07543214045847,2.92136478639934,11.9259280135456,5.04979190263078,9.26302769425519,14.1811073551213,0,0,0
"19517","Páez",0.557053293913796,0.00226090335603594,0.0053456226555541,0.131250934078747,82.78,5.89,37.23,23.86,95.05,4.95,77.43,6,1599,43.95,55,70.32,4.05,11.08,11.7,41.89,44.42,3.54,39.7180133903952,8.11738863616622,52.1645979734386,1.92070663935301,2.57,23.23,64.34,3.82,75.55,5,16.15,75.45,5.87,59.91,12.97,34.57,12.97,2.16,0.07,49.98,50.02,14.05,27.44,79.6,1.35,7,71.7948853151227,98.3242930535407,71.7948853151227,147.1419,0.0815320413956042,0,0,0,0.209911646279793,26.6587790775337,12.1382363605137,6946793.27486976,6999630.54386199,1187052.41186573,1143716.96610881,1122346.15638418,610757.920806061,107667.271377593,0.0594813274049196,5.19411052616762,93.3391514878523,1.46673798598012,7.81634639238212,0,0,0,0,0,-4.66369924474265,5.46320568125213,10.6767261878181,3.43527669531502,10.8667191205787,14.0738047688688,0,0,1
"19532","Patía",0.427856368967543,0.00226908294763249,0.00315958697715313,0.131376339289873,0.14,71.41,23.27,61.59,63.93,36.07,50.25,6,723,11,42.7,75.62,3.09,10.52,12.63,45.37,47.25,5.63,32.9757008898065,8.14274692330827,58.8815521868852,1.7842130695575,5.49,20.62,88.34,9.59,78.32,5.32,6.12,61.81,4.08,97.35,180.19,80.68,43.03,45.72,2.22,52.12,47.88,51.61,42.51,90.97,6.27,26,62.8628111412286,149.40878470533,62.8628111412286,98.3859,0.287882285276244,0,1,402.275242047026,2.26133881536683,52.6789155852499,31.6864962096878,8640011.74403187,8710117.55199794,1553968.50620583,1419068.02911474,1380524.38715148,732810.570962354,127396.111216754,0.325838365668765,10.8391827525696,86.7416645775884,2.41915266984207,40.467685982269,1,0,0,0,0,-4.43983088258156,2.92151327242678,11.8122925788174,3.9982007016692,10.5691350593935,14.3351162939402,0,1,0
"19533","Piamonte",0.457677045801199,0.0068641504627966,0.0112521525110129,0.231770775266193,18.43,2.99,31.76,27.19,77.3,22.7,59.62,6,1162,24.4,61.5,73.24,3.47,6.09,6.43,46.06,49.19,4.47,45.8486745702135,5.23938147711353,48.9119439526729,0.569250627224238,3.13,17.93,86.41,4.17,78.33,5.33,0,78.77,0,93.33,22.21,77.74,0,33.32,0.64,47.2,52.8,70.99,30.43,55.06,0.97,31,144.749898841599,246.813189983337,144.749898841599,344.8403,7.79579872323672,0,0,252.40017211704,1.64863472436888,171.458011334364,19.5002575991757,14677567.4578053,14945149.1249871,2475866.30303967,2196739.737661,2153728.24956208,1340971.29366306,171310.647810407,0.211746522411128,5.83756345177665,93.5339618080735,0.628474740149867,72.8902627511592,1,0,0,0,0,-4.19350425162154,2.68754057941884,12.5394205972904,2.13298230860787,9.18039649560311,14.7890043285594,0,0,1
"19548","Piendamó - Tunía",0.347038916776648,0.00226078589356165,0.00201667209285544,0.129401546038459,18.35,1.73,22.68,70.1,66.18,33.82,51.91,6,171,14,50.7,88.76,2.78,7.7,8.75,48.21,49.73,4.45,32.1682447115036,8.00218356434648,59.8295717241499,2.2748474779802,5.93,18.76,86.32,9.65,81.61,5.59,10.27,65.01,6.16,93.22,217.59,14.51,31.43,14.51,2.04,37.66,62.34,93.32,40,95.04,6.59,2,27.3807996280601,76.2526307521084,27.3807996280601,43.4154,0.0860873377877904,0,1,3.40350877192982,1.17161870840754,19.4723029337332,29.5013590777018,8967779.43931015,9041303.08016215,1542196.75902146,1390111.52570531,1331512.08051364,655678.481558722,110218.057362452,0.403271159433874,16.0196317743904,82.7728582928666,1.207509932743,39.7506795388509,1,0,0,0,1,-4.28915225662469,2.25896879031993,11.9321963881704,5.54938732050309,10.6613919803114,14.3177483010489,1,0,0
